Title,Salary,Link,Vaxx
Fraud Analyst (New / Recent Graduate),,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CAu63qYmF4ruMsyyhkvi8oPoP2sFN7ueC2iu3o-4MDNmzeq_4XpHC_zpjoHss10xl4Ch9m9fkYOjP_MpUAEs0zZGLp82aKd8KuyT1OhovyNED13NmnrGmAQ7t2NCHDteFWFoWDY7ayzWOVaOqzY1jT2bi-4yQT0PAqb8X04rv00LcfZKouMRO3wjnkjdClhqQslAONL8sTRcTHYzMjs34fT_gDhmdIRpqopWum8JWhGlXFwWSwctIly5Epi6kt4rIzzuc_3WI_DmpNcC0jawURZpTaOkG__-MMVE4c_U3EJwXh630k-_jxHds9zd7VNpSFAlpwtRDQ135nRKoiuUT1IJG9n3vcktUAB-d1ZBGZ2N5X4IleiE7ysLuQpSNf8sWXeJE3ihfLVBz_R-nzT1-U0fld7fVTMflbOIN6DBd2QZzqhMyS8elYtLxy_4pxiaR0uST8KcFgFwKL8iZWC6zBNFR3xvETT-PFBA9_u7f3pO7bVXKqqu5nYaAFQy641mu8g2zHkCiuM4UbM2ooJoVb8fSMeHBoTz2zjMy8Zgrm8MwZDYwzP0M-OmDWJcvp4S28HfVPLo2UpSGTEeOJKoOU&p=2&fvj=0&vjs=3,False
"Data Analyst, Reinsurance Operations",,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CxMktRfIY4n2PDsUV8-SF-RhuGOEeB1z81xUSq8emV3-sHXi15KHVM0Bf0vdQaulPItGSJMxFQjDAURgjAiGJ-4pNf6kzu7esPqusrV1nLYUm54p0opUk5fYg_FP9LQ-FzvYIushi1y8qfd6PsqNVRcUkA0JQcPOe_9GP9YGs4q4qh9CVu8iIdoyhiStUK1m75QzjEjU6-HMGCFuYzIr_WlONsKBDbZXTqpL1q5xfjdcLui0cyzhZK11jse1HJlOrMc67-C0IH-51Kv8dcFDwVlf9ABewXzig5Z6dJB5giLHhyTklvUTp59ir4_sp7ihf5D1cEKI-s9IHT4sV2jjpI5XMC6eMkSfiAK2zX-X1p16av6Lbnp-FRU823fSneIzuE99ofb2AtgoBNJ5IMV_YzMmY4DiKOJkT9_9fSnJVI6t68zVDZCofsHb1LAPU9LmKWdASKsNW3uZFxDGqPo1ahk3VW1OlJuWc7mQdGpOFSd8Y5s8utWRMS&p=3&fvj=0&vjs=3,False
Data Governance Analyst,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DS8a26ovoDmDVWKnecPTLFR8SHVHLxO_NaDhkaouMlpRBQVxuxbv2csLUuPuwEwOuuvbWRrSoLfhtKFwTNddnwZgp9LYIYfNRrog-RjmMyxU7BqccPnzpAh2JtuIAmvhDAsWy2FRJVDbb1d0F6x1iaGA9XvOnsC_PYDOgPE2jNYjBIecoqYvKEmmiqCWqD0rXLcDH5hUE--hl5-AhcTweus2_zjxH9CB4KpddOi33v_ElCfe7mcTnr_9Ql95vUDH-0smvLa5OAslTXVHcTV9WPX0OcIukvf9NB58WhkDTneq1t7Eo0QO4ZkgSCFzrAvKlqRFJfpPq93YCIPplocTvmov4nZ66OiEHjgxCdC-LD3jlpgzTAQToLiSOfI6mq3CHxPpzlW8Ic7uB_ToTPMslT60eL31ZTcXhpOTQAoZCFZsLvjGahQQ_1lY8uv23kn7vjGjV1TGlVAs7Cn3WMOIfjLaOxToF4TK-vvSK-5UyKlGLWY8jBIcGmhBFLN5yVjNpxIDC4uClqiKS0WT3AdOgRGXao0XHQFrraaW9EKsGNhCG3Lu82zwmubDcUQEjUghs-RmX38js6t3LlD9XoZsUb9AWkHOSNKoA=&p=4&fvj=0&vjs=3,False
Data Analyst,,https://ca.indeed.com/company/Clutch-Canada/jobs/Data-Analyst-d0b4bb99133f38ec?fccid=5fb79bf1f6da0240&vjs=3,True
Business Analyst,,https://ca.indeed.com/company/MSi-Corp/jobs/Business-Analyst-5b3a04ed12bc059d?fccid=183e06e7def5a52c&vjs=3,False
Business Analyst,,https://ca.indeed.com/company/Total-Credit-Recovery-Ltd/jobs/Business-Analyst-ed59bdcf27ced66f?fccid=c412657cf6a066c1&vjs=3,True
Data Analyst - Creative Destruction Lab,,https://ca.indeed.com/rc/clk?jk=d93e4ccff1615612&fccid=986361104086c3ae&vjs=3,False
Data Analyst,,https://ca.indeed.com/rc/clk?jk=0fc800066770eada&fccid=354f4c12e3c6bd5a&vjs=3,False
"Business/Operations Analyst, Summer 2022 Student Opportuniti...",,https://ca.indeed.com/rc/clk?jk=5047fbd8b086d832&fccid=537b899e30af3338&vjs=3,False
Data Analyst (Toronto Remote),,https://ca.indeed.com/rc/clk?jk=f6b901fc4ac82097&fccid=7136762d065a5ad7&vjs=3,False
